Plugin Name,Plugin Description,End User Instructions,Plugin Contact Email,Plugin Terms,Plugin Developer Website
Calorie Chat,"Tracking what you eat doesn't have to be hard. With Calorie Chat, you'll find calorie counting simpler than ever before.",n/a,n/a,n/a,n/a
Career Copilot,"A trusted, always on assistant to help software developers find a better job. Built by Commit.dev.",n/a,n/a,n/a,n/a
CarYardBard,AI-Powered Car Sales Ad Generator for Australian Car Dealers.,n/a,n/a,n/a,n/a
ChampDex,Chat with your favorite League of Legends champions!,n/a,n/a,n/a,n/a
Change,Discover impactful nonprofits to support in your community and beyond.,n/a,n/a,n/a,n/a
ChatSpot,"Get access to marketing/sales data including domain information, company research and search keyword research.",n/a,n/a,n/a,n/a
ChatWithGit,Search code on GitHub repositories based on a query.,n/a,n/a,n/a,n/a
ChatWithPDF,Chat with everything from entire PDF books to Google Drive documents just by providing a link.,n/a,n/a,n/a,n/a
ChatWithVideo,"Ask questions, analyzing, and parsing through YouTube videos by simply providing a YouTube video URL.",n/a,n/a,n/a,n/a
ChatWithWebsite,"Have a conversation with any website, powered by magicform.ai",n/a,n/a,n/a,n/a
Chess,Unleash your inner chess master with this interactive chess experience! You can play against a novice or a grandmaster!,n/a,n/a,n/a,n/a
Clinical Trial Radar,"Discover current info on global clinical trials, organizations, diseases, and biomarkers from public & private studies.",n/a,n/a,n/a,n/a
Cloudflare Radar,Get real-time insights into Internet traffic patterns and threats as seen by Cloudflare.,n/a,n/a,n/a,n/a
CoinCap,Get cryptocurrency information from CoinCap.,n/a,n/a,n/a,n/a
Comic Finder,A plugin that finds a relevant comic given a description. Currently supports XKCD and SMBC comics.,n/a,n/a,n/a,n/a
Competitor PPC Ads,Discover your competitors' best PPC ads by entering their website address.,n/a,n/a,n/a,n/a
Coupert,Search for the internet’s best coupons from thousands of online stores.,n/a,n/a,n/a,n/a
Crafty Clues,Guess the words that the AI craftily clues for you. Add restrictions to make the game more interesting!,n/a,n/a,n/a,n/a
CreatiCode Scratch,Display Scratch programs as images and write 2D/3D programs using CreatiCode Scratch extensions.,n/a,n/a,n/a,n/a
Creatuity Stores,We integrate stores so you can search for products in all of them at the same time.,n/a,n/a,n/a,n/a
Creature Generator,Creates a random creature and an image it for use in role playing games.,n/a,n/a,n/a,n/a
CreditYelp,Access various essential financial calculators for a detailed repayment schedule and payoff term.,n/a,n/a,n/a,n/a
Crypto Market News,"It's your go-to solution for real-time cryptocurrency price updates, market insights, and the latest news.",n/a,n/a,n/a,n/a
CT Criteria Parser,Analyze eligibility criteria in ClinicalTrials.gov. Example input: nctid NCT05859269,n/a,n/a,n/a,n/a
Currency Converter,Convert currencies based on real-time rates.,n/a,n/a,n/a,n/a
daigr.am,"Build charts, graphs, and more.",n/a,n/a,n/a,n/a
DAIZY,"Deep insights on ETFs, stocks, cryptos. Institutional-grade data: performance, risk, sustainability, research.",n/a,n/a,n/a,n/a
Decision Journal,Become a better decision maker by keeping track of your decisions and reviewing how they turn out.,n/a,n/a,n/a,n/a
DeployScript,"DeployScript effortlessly launches web apps, handling the tech for you. Watch your ideas come to life!",n/a,n/a,n/a,n/a
DEV Community,Plugin for recommending articles or users from DEV Community.,n/a,n/a,n/a,n/a
DM Tool Kit,App for rolling dice using the d20 or Fate/Fudge systems.,n/a,n/a,n/a,n/a
Dr. Thoth's Tarot,"Tarot card novelty entertainment & analysis, by Mnemosyne Labs.",n/a,n/a,n/a,n/a
Easy Resume,"Quickly create and edit your resume with the option to download as a docx or pdf, and find the job you deserve!","As an end user, to use the Easy Resume GPT Plugin, you will interact with the model to create your resume. Here are the steps you need to follow:

Provide Resume Content: You need to provide information that will go into your resume. This may include your personal information, work experience, education, skills, and any other relevant information that you would like to include in your resume.

Create Resume: After you have provided all the necessary information, the assistant will use this data to create a new resume for you. This process is handled by the plugin, so you don't have to worry about how the data is processed.

Edit Resume: If necessary, you can edit your resume. For example, you might need to update your work experience, add new skills, or modify any other information in your resume. You can do this by interacting with the assistant in a conversational manner.

Download Resume: Once your resume is complete and you're satisfied with the information it contains, you have the option to download your resume as a docx or pdf file.

Access Resume: The assistant will provide you with a unique URL (access_url) where you can access your created resume online. You can use this URL to access your resume at any time, from anywhere.",info@easy-resume.net,https://easy-resume.net/legal,https://easy-resume.net/
edX,Find courses and content from leading universities to expand your knowledge at any level.,n/a,n/a,n/a,n/a
Expedia,"Bring your trip plans to life – get there, stay there, find things to see and do.",n/a,n/a,n/a,n/a
FiscalNote,"FiscalNote enables access to select market-leading, real-time data sets for legal, political, and regulatory information",n/a,n/a,n/a,n/a
FundsDB,Discover funding opportunities in UK and India on FundsDB. Type in your query in any language or /help for assistance.,n/a,n/a,n/a,n/a
GameBase,"Chat and get game info, database is based on the latest gaming information in 2023, supports multiple platforms.",n/a,n/a,n/a,n/a
GetYourGuide,"Find tours, excursions and other travel activities.",n/a,n/a,n/a,n/a
Gift Finder,"Gift Finder is your personal gift advisor. It helps find the perfect experience for anyone, making gift-giving a simpler and more personalized process.",n/a,n/a,n/a,n/a
Giftwrap,"Ask about gift ideas for any occasion and recipient. Get it wrapped and delivered, no address needed.",n/a,n/a,n/a,n/a
Giga Tutor,"Giga is your AI powered personalised tutor, it keeps the answers to your questions personalised.",n/a,n/a,n/a,n/a
Glowing,"Schedule and send daily SMS messages - reminders, inspiration, helpers and more.",n/a,n/a,n/a,n/a
GoFynd,Elevate your shopping experience with GoFynd.,n/a,n/a,n/a,n/a
Golden,Get current factual data on companies from the Golden knowledge graph.,n/a,n/a,n/a,n/a
Got2Go,Your next vacation is one conversation away. Literally. Find the perfect stays in the US with Got2Go.,n/a,n/a,n/a,n/a
HaffPrice,Shopping all kinds of products with the lowest price in the market.,n/a,n/a,n/a,n/a
Hauling Buddies,"Locate dependable animal transporters using recommendations, reviews, and regulatory compliance search features.",n/a,n/a,n/a,n/a
HeyGen,Meet HeyGen - The best AI video generation platform for your team.,n/a,n/a,n/a,n/a
highPerplexity,Integrates with highPerplexity and executes any prompts you need.,n/a,n/a,n/a,n/a
HTTP Webhooks,"Allows you to write, deploy, and manage HTTP Webhooks in JavaScript, right from the chat.",n/a,n/a,n/a,n/a
Hubbub,"Local health risk & safety guidance for COVID-19, Flu, RSV and more in the US.",n/a,n/a,n/a,n/a
I Am Rich,Proudly declare 'I am rich'.,n/a,n/a,n/a,n/a
Instacart,"What’s cookin'? Ask about recipes, meal plans, & more -- and get ingredients delivered from 40,000+ stores!",n/a,n/a,n/a,n/a
JetBook.Click,"Your ultimate travel companion: search/book flights at best prices, get info about your destination. Multilang support.",n/a,n/a,n/a,n/a
JiggyBase,"Use the knowledge in your JiggyBase document collections to help produce factual, up-to-date chat responses.",n/a,n/a,n/a,n/a
Job Search UK,"Get the latest job posts from the UK's top job boards including Reed, Indeed, and others.","1. Specify Search Criteria: To find a job, you'll need to provide some information about what you're looking for. This might include:

The job title or keywords related to the job
The location where you want to work
The type of job (permanent, contract, temporary, part-time, or full-time)
The minimum and/or maximum salary you're looking for
Whether you're looking for a job posted by a recruitment agency or a direct employer
Whether you're looking for a graduate job

2. Submit Your Search: After providing your criteria, the system will search for jobs that match your requirements.

3. Review the Results: The system will present you with a list of jobs that match your criteria. For each job, you'll see information like the employer name, job title, location, salary range, job description, and a link to the job post.

4. Get More Details: If you're interested in a particular job and want to know more about it, you can ask the system for more details. To do this, you'll need to provide the ID of the job. In response, the system will give you more information about the job, such as the type of contract, the job type (full time or part time), the expiration date of the job, and a link to the job application.

5. Adjust Your Search: If the search results don't meet your needs, you can adjust your criteria and try again.

Remember, the goal of this system is to help you find a job that meets your needs. It can't guarantee that there will always be jobs that match your criteria, but it will do its best to find the most relevant job posts. For the most detailed and up-to-date information about a job, always visit the job post directly using the link provided.",help@gptjobsearch.uk,https://gptjobsearch.uk/privacy,https://gptjobsearch.uk
Kakaku.com,Search for products that match your criteria from among the many products registered on the Japanese website Kakaku.com.,n/a,n/a,n/a,n/a
KalendarAI,KalendarAI sales agents generate revenue with potential customers from 200+ million companies globally.,n/a,n/a,n/a,n/a
KAYAK,"Search flights, stays & rental cars or get recommendations where you can go on your budget.",n/a,n/a,n/a,n/a
KeyMate.AI Search,"Search&Browse the web by using Google Search results with KeyMate.AI, your AI-powered web crawler.",n/a,n/a,n/a,n/a
Keyplays Live Soccer,"Latest live soccer standings, results, commentary, tv stations, keyplays (with and without scores).",n/a,n/a,n/a,n/a
Keyword Explorer,Keyword Explorer provides popular related keywords to amplify your content optimization.,n/a,n/a,n/a,n/a
Klarna Shopping,Search and compare prices from thousands of online shops. Only available in the US.,n/a,n/a,n/a,n/a
Klook,"From local escapes to far flung adventures, find the best experiences, tours, hotels and transport options anywhere.",n/a,n/a,n/a,n/a
Kraftful,Your product development coach. Ask about best practices. Get top gurus’ product thinking.,n/a,n/a,n/a,n/a
LawyerPR,"Matching your ideal lawyer, in Japan. Let's Start with a Preliminary Review.",n/a,n/a,n/a,n/a
Lexi Shopper,Get product recommendations from your local Amazon store.,n/a,n/a,n/a,n/a
Likewise,"Your media and entertainment companion. Get TV, Movies, Books & Podcast Recommendations.",n/a,n/a,n/a,n/a
Link Reader,"Reads the content of all kinds of links, like webpage, PDF, PPT, image, Word & other docs.",n/a,n/a,n/a,n/a
Local by GoodCall,"Discover and support restaurants, shops & services near you. 🍽️ 🛍️ 🔧",n/a,n/a,n/a,n/a
Magnetis,Magnetis is a digital wealth manager. Get updated data on portfolios returns and allocations. Ask me about Magnetis.,n/a,n/a,n/a,n/a
Mallorca Magic Property Search,"Discover your dream property in Mallorca with our AI-Power. Find the perfect match from over 75,000 listings!",n/a,n/a,n/a,n/a
Man of Many,"Discover the latest in products, culture and style from Man of Many. Ask for the latest news and headlines.",n/a,n/a,n/a,n/a
Manorlead,Get a list of listings for rent or sale in cities across Canada and the US based on your search criteria.,n/a,n/a,n/a,n/a
Meme Creator,Use Meme Creator to create memes on demand using the power of AI!,n/a,n/a,n/a,n/a
Metaphor,"Access the internet's highest quality content. Recommended by people, powered by neural search.",n/a,n/a,n/a,n/a
Mindart,"Career test to help you find your dream job, with automation risk and average salary.","As an end user, to use the Mindart GPT Plugin, you will interact with the model to find jobs that best suit your interests based on the RIASEC model. Here are the steps you need to follow:

Identify Your Interests: The first step is to identify your primary and secondary interests based on the RIASEC model. The options are Realistic, Investigative, Artistic, Social, Enterprising, and Conventional. For example, you might identify your primary interest as ""Realistic"" and your secondary interest as ""Social"".

Share Your Interests: After you have identified your interests, you will share these with the assistant. For example, you could say, ""I have identified my primary interest as Realistic and my secondary interest as Social"".

Receive Job Suggestions: The assistant will then use your identified interests to find jobs that could be a good fit for you. This process is handled by the Mindart plugin, so you don't need to worry about the technical details of how this works.

Review Job Information: The assistant will provide you with information about the suggested jobs, including the job title, zone, description, required education, average wages in the US, and the risk of automation. You can review this information to see if any of the suggested jobs align with your career goals.

Remember, all of this interaction is done through a natural, conversational interface with the assistant. You do not need to know any technical details about APIs, JSON, or how the plugin works to use it.",m.lionardo@gmail.com,https://mindart.app,https://mindart.app
MixerBox News,Get latest news delivered right to you! Stay informed with bulletins across multiple categories from credible sources.,n/a,n/a,n/a,n/a
MixerBox OnePlayer,"Unlimited music, podcasts, and videos across various genres. Enjoy endless listening with our rich playlists!",n/a,n/a,n/a,n/a
ndricks Sports,"Get information about pro teams (NHL, NBA, NFL, MLB) teams by calling the ndricks Software Sports API.",n/a,n/a,n/a,n/a
NextPaper.ai,Fetch the latest research papers on a specific topic from PubMed. More to come.,n/a,n/a,n/a,n/a
NFTs,Get the important details of any NFT collection and ask for insights based on that data!,n/a,n/a,n/a,n/a
Noteable,"Create notebooks in Python, SQL, and Markdown to explore data, visualize, and share notebooks with everyone.",n/a,n/a,n/a,n/a
One Word Domains,Check the availability of a domain and compare prices across different registrars.,n/a,n/a,n/a,n/a
Open Lecture,Discover and access the right moments in open course lectures for targeted learning.,n/a,n/a,n/a,n/a
Open Trivia,Get trivia questions from various categories and difficulty levels.,n/a,n/a,n/a,n/a
OpenTable,Allows you to search for restaurants available for booking dining experiences.,n/a,n/a,n/a,n/a
Options Pro,Options Pro is your personal options trading assistant to help you navigate market conditions.,n/a,n/a,n/a,n/a
Outschool,Search for top-quality online classes and teachers on Outschool.,n/a,n/a,n/a,n/a
OwlJourney,"Provides lodging and activity suggestions, ensuring an engaging and user-friendly journey.",n/a,n/a,n/a,n/a
PaperChat,Search through arXiv publications.,n/a,n/a,n/a,n/a
Paxi AI,Let AI tools speed up your tasks! Make it easy to find the right tool for the task.,n/a,n/a,n/a,n/a
PDF Exporter,PDF Exporter is a handy tool designed to export any chat response into a stylized PDF document. It provides an easy way to store and share important chat conversations or responses.,n/a,n/a,n/a,n/a
Penrose Analyst,Search global news and research papers. Summarize Arxiv.org links. Ask me for the latest news!,n/a,n/a,n/a,n/a
Photorealistic,Generate Photorealistic prompts for Midjourney.,n/a,n/a,n/a,n/a
Placid.app,A design assistant that creates marketing visuals from your templates.,n/a,n/a,n/a,n/a
Planfit,"Get your tailored workout plan and instructions with videos - AI-powered Workout Coach, Planfit.",n/a,n/a,n/a,n/a
PlaylistAI,Create Spotify playlists for any prompt.,n/a,n/a,n/a,n/a
Plugin User Instructions,Summarize news headlines. You can ask for the latest news from various sources around the world.,n/a,n/a,n/a,n/a
Podcast search,"This tool explores podcasts from PodcastIndex.org, a platform for decentralized audio content discovery.",n/a,n/a,n/a,n/a
Polarr,Search Polarr's massive pool of user generated filters to make your photos and videos perfect.,n/a,n/a,n/a,n/a
Polygon,"Market data, news, and fundamentals for stocks, options, forex, and crypto from Polygon.io.",n/a,n/a,n/a,n/a
PortfolioPilot,"Your AI investing guide: portfolio assessment, recommendations, answers to all finance questions.",n/a,n/a,n/a,n/a
PortfoliosLab,"Stocks, ETFs, funds, crypto analysis: historical performance, volatility, risk metrics, Sharpe ratio, drawdowns, etc.",n/a,n/a,n/a,n/a
Prompt Perfect,"Type 'perfect' to craft the perfect prompt, every time.",n/a,n/a,n/a,n/a
Public,"Get real-time and historical market data, including asset prices, news, research, and comprehensive financial analysis.",n/a,n/a,n/a,n/a
QuakePH,Stay updated with the latest earthquakes in the Philippines.,n/a,n/a,n/a,n/a
Questmate Forms,"Create forms, checklists and workflows (we call 'em Quests!) directly from ChatGPT.",n/a,n/a,n/a,n/a
QuickRecall,Create flashcards and review them with spaced repetition.,n/a,n/a,n/a,n/a
Redfin,Have questions about the housing market? Find the answers to help you win in today's market.,n/a,n/a,n/a,n/a
Rentable Apartments,"Get apartment options in a city of your choice, scoped to your needs and budget.",n/a,n/a,n/a,n/a
RoboAd,Your AI powered Ad Assistant!,n/a,n/a,n/a,n/a
Sakenowa,Find Sake and get detailed information in various ways.,n/a,n/a,n/a,n/a
Savvy Trader AI,"Realtime stock, crypto and other investment data",n/a,n/a,n/a,n/a
SceneXplain,SceneXplain lets you attach images to your prompt. Explore image storytelling beyond pixels.,n/a,n/a,n/a,n/a
ScholarAI,"Unlock the power of scientific research with peer-reviewed papers from PubMed, Arxiv, Springer, and more.",n/a,n/a,n/a,n/a
Scraper,Scrape content from webpages by providing a URL.,n/a,n/a,n/a,n/a
SEO,Send a URL and keyword and get a On Page SEO analysis & insights!,n/a,n/a,n/a,n/a
SEO Assistant,The SEO Assistant can generate search engine keyword information in order to aid the creation of content.,n/a,n/a,n/a,n/a
SEO CORE AI,"Use AI to analyze and improve the SEO of a website. Get advice on websites, keywords and competitors.",n/a,n/a,n/a,n/a
SEO.app,Your personal SEO assistant for content marketing.,n/a,n/a,n/a,n/a
Shimmer: Nutrition Coach,Track meals & gain insights for a healthier lifestyle from 1m+ restaurants & grocery stores.,n/a,n/a,n/a,n/a
Shop,Search for millions of products from the world's greatest brands.,n/a,n/a,n/a,n/a
Show Me,Create and edit diagrams directly in chat.,n/a,n/a,n/a,n/a
Speak,"Learn how to say anything in another language with Speak, your AI-powered language tutor.",n/a,n/a,n/a,n/a
Speechki,"The easiest way to convert texts to ready-to-use audio — download link, audio player page, or embed!",n/a,n/a,n/a,n/a
Statis Fund Finance,"Financial data tool for analyzing equities. You can get price quotes, analyze moving averages, RSI, and more.",n/a,n/a,n/a,n/a
Substack IQ,"Search, analyze, & summarize Substack newsletters, retrieve articles, and discover new Substacks!",n/a,n/a,n/a,n/a
Tabelog,Allows you to find restaurants in Japan that have availability for reservations.,n/a,n/a,n/a,n/a
TalkFPL,"TalkFPL is an AI-powered plugin designed for Fantasy Premier League enthusiasts. This tool allows you to manage your FPL team effectively by comparing players, analyzing transfer options, and providing other valuable insights.",n/a,n/a,n/a,n/a
Tasty Recipes,"Discover recipe ideas, meal plans and cooking tips from Tasty's millions of users!",n/a,n/a,n/a,n/a
ThemeParkHipster,Find theme park waiting times around the world.,n/a,n/a,n/a,n/a
There's An AI For That,"Find the right AI tools for any use case, from the world's largest database of AI tools.",n/a,n/a,n/a,n/a
Tic Tac Toe,Playing a game of Tic Tac Toe with varying board sizes. You can submit your move and get the AI's response move.,n/a,n/a,n/a,n/a
TimeMachine,"Enhances AI with real-time awareness, providing current time in various formats and timezones.",n/a,n/a,n/a,n/a
Tomorrow.io Weather,"Predicting, planning, and adapting to the weather forecast via contextualized chat-based insights.",n/a,n/a,n/a,n/a
Trip.com,Discover the ultimate travel companion - simplify your flight and hotel bookings. Enjoy your effortless trip!,n/a,n/a,n/a,n/a
Turo,Search for the perfect Turo vehicle for your next trip.,n/a,n/a,n/a,n/a
Tutory,"Access affordable, on-demand tutoring and education right at your fingertips.",n/a,n/a,n/a,n/a
TXYZ AI,"Effortlessly decipher, compare, and answer questions about research papers with AI.",n/a,n/a,n/a,n/a
UK Latest News,"Get the latest news stories from the UK's top news outlets including BBC News, Sky News, The Independent, and others.",n/a,n/a,n/a,n/a
Uniket,Elevate your shopping experience with Uniket.,n/a,n/a,n/a,n/a
Urban New Apartments,Search and find the best new apartments and townhomes from Australia’s leading property developments.,n/a,n/a,n/a,n/a
Video Insights,Interact with online video platforms like Youtube or Daily Motion.,n/a,n/a,n/a,n/a
Visla,Create a short video from public stock footage based on your specified topic.,n/a,n/a,n/a,n/a
Vivian Health,Take the first step to finding your next healthcare job.,"As an end user, to take advantage of the Vivian Health GPT Plugin, you need to interact with the GPT model in a conversational manner and provide the following information, one category at a time:

Job Periodicity: Specify the type of job you're looking for. Options include travel, permanent, per diem, local contract, or locum jobs.

Job Location: Mention the locations where you're interested in working. Make sure to include both the city and state for each location.

Job Specialty: Let the assistant know your medical specialty or the area in which you wish to work.

Job Pay: Share your desired pay amount and pay period (e.g., ""I want to earn $3000 per week"").

This information is collected through a natural, conversational exchange rather than through a list of questions. The assistant will ask you each question one at a time, and you can provide multiple answers for each question if needed.

After collecting this information, the assistant will use the Vivian Health Plugin to find job opportunities that align with your specified criteria. The assistant will then provide you with the most relevant job suggestions based on your answers.

When you find a job or jobs that you're interested in, the assistant will provide a link, which you can click to apply for the job(s) on the vivian.com website.",hello@vivian.com,hello@vivian.com,www.vivian.com
VoxScript,"Enables searching of YouTube transcripts, financial data sources, and Google Search results, and more!",n/a,n/a,n/a,n/a
Wahi,"Hey Ontario, ask and get so in the know on the latest listings, property insights and more.",n/a,n/a,n/a,n/a
Weather,"Provides weather forecast based on location. Includes temperature, precipitation, cloud cover, wind and much more.",n/a,n/a,n/a,n/a
Weather Report,Current weather data for cities and airports using METAR aviation feeds.,n/a,n/a,n/a,n/a
WeatherWhiz,WeatherWhiz: Accurate current weather and forecasts for any location.,n/a,n/a,n/a,n/a
Web Requests,"Goodbye Knowledge Cutoff, Hello World! This is your AI assistant's web browser. Just enter a URL. Google, Wiki, GitHub.",n/a,n/a,n/a,n/a
WebPilot,"Browse & QA Webpage/PDF/Data. Generate articles, from one or more URLs.",n/a,n/a,n/a,n/a
Website Performance,"Measure key metrics about your website - performance, accessibility, best practices, SEO, PWA.",n/a,n/a,n/a,n/a
What To Watch,"Search for current shows, get recommendations, and find out where things are streaming.",n/a,n/a,n/a,n/a
Wishbucket,Unified product search across all Korean platforms and brands.,n/a,n/a,n/a,n/a
Wolfram,"Access computation, math, curated knowledge & real-time data through Wolfram",n/a,n/a,n/a,n/a
Word Sneak,The AI has to sneak 3 secret words into your conversation. Guess the words to win the game!,n/a,n/a,n/a,n/a
WordCloud,Create word cloud images from text.,n/a,n/a,n/a,n/a
World News,Summarize news headlines. You can ask for the latest news from various sources around the world.,n/a,n/a,n/a,n/a
WP Interact,"Fetch or search posts from self-hosted WordPress websites, opening new possibilities for smart interaction with content.",n/a,n/a,n/a,n/a
Xpapers,"Effortlessly find real academic papers on arXiv. Dive into abstracts, references, and access public PDF URLs.",n/a,n/a,n/a,n/a
Xweather,"XWeather gives weather information for a location. Ask for the current weather, a 5-day forecast, or a radar image.",n/a,n/a,n/a,n/a
Yabble,Create insights instantly. Any audience. Any question. Yabble it.,n/a,n/a,n/a,n/a
Yay! Forms,"Allows you to create AI-Powered Forms, Surveys, Quizzes, or Questionnaires on Yay! Forms.",n/a,n/a,n/a,n/a
Zapier,"Interact with over 5,000+ apps like Google Sheets, Gmail, HubSpot, Salesforce, and thousands more.",n/a,n/a,n/a,n/a
Zillow,"Your real estate assistant is here! Search listings, view property details, and get home with Zillow.",n/a,n/a,n/a,n/a
Zumper Rental Search,Find a rental home in the US and Canada.,n/a,n/a,n/a,n/a
